name,gpu_score
828,intel hd 4600 manual-gen9_2015-134121,620.0
829,intel hd 500,299.0
830,intel hd 5000,585.0
831,intel hd 505,360.0
832,intel hd 510,622.0
833,intel hd 515,633.0
834,intel hd 520,867.0
835,intel hd 5200,830.0
836,intel hd 530,995.0
837,intel hd 5300,400.0
838,intel hd 5500,590.0
839,intel hd 5600,2264.0
840,intel hd 6000,874.0
841,intel hd 610,687.0
842,intel hd 615,709.0
843,intel hd 630,1110.0
844,intel hd family,462.0
845,intel hd 620,926.0
846,intel hd manual-15.28-1861,63.0
847,intel hd manual-gen9_2015-133271,165.0
848,intel hd modded,112.0
849,intel hd p3000,285.0
850,intel hd p4000,516.0
851,intel hd p4600,605.0
852,intel hd p4600/p4700,635.0
853,intel hd p530,1161.0
854,intel hd p630,1204.0
855,intel infoshock hd,194.0
856,intel iris 5100,747.0
